name,locations
"Dravanian outwalker","Stone Vigil;The Barracks"
"dread dragon","Bronze Lake"
"dreadguard","The Ragnarok (Zone);Incubator Transport"
"dreadknight","The Right Hand of Bahamut"
"dreaming shudra","Virdjala"
"drifting dynamite","Greatest Endsvale"
"drifting soul","Pharos Sirius (Zone)"
"dripping sallet","Sastasha (Hard)"
"drought dweller","Newvoid"
"drowned boatswain","The Serpent's Tongue"
"drowned courtesan","Sastasha (Hard)"
"drowned demolisher","Open Sea - Merchantman"
"drowned powder monkey","Sastasha (Hard)"
"drowned seaman 1st class","Open Sea - Merchantman"
"drowned swordsman","Sapsa Spawning Grounds"
"drowned wench","Sastasha (Hard)"
"dryad","Proud Creek"
"Drybone tuco-tuco","Drybone"
"dryspine gigantender","The Central Hills of Amber"
"Dschubba","Treespeak"
"dud","Uncanny Valley (Area)"
"dueling gryps","Philomythes Notos"
"dueling yggdreant","Philomythes Notos"
"dullahan","Proud Creek;Amdapor Keep"
"dune angler","Sagolii Desert"
"dune bogy","The Footfalls"
"dung wespe","The Adytum of Lalafuto IV"
"Durinn","Blue Sky"
"dusk bat","Skull Valley"
"dusk knight","The Chancel"
"dusk wolf","Outer Walls"
"duskfall bhoot","The Missing Sester"
"duskfall dullahan","The Val River Swale"
"duskfall mummy","The Val River Swale"
"duskfall skeleton","The Orchard"
"Duskwight outlaw","Sorrel Haven"
"dust anila","The Last Forest"
"dust dhara","The Striped Hills"
"Dux","East Flamerock"
"Dvalinn","The Hall of the Thrice Born"
"dynamite","Kydonia Knolls"
"E.D.D.","Main Generators"
"earth aether","The Queen's Room"
"earth arcanum","The Answering Quarter"
"earth eater","The Western Plateau"
"earth familiar","Southwestern Ice Needles"
"earth homunculus","Pools of Folly"
"earth sprite","Bloodshore;Upper Paths;Hammerlea;Drybone;Sandgate;Raubahn's Push;Bluefog;The Dravanian Forelands;The Dravanian Hinterlands;The Ziggurat;The Alermuc Climb;Yesterland"
"earthen brickman","Sil'dih Excavation Site;Blind Iron Mines;Bronze Lake;Bentbranch;Finder's Bluff"
"easterly","Mansion Cellar"
"Eastern buzzard","The Fall of Bardam the Boastful"
"Eblan bear","The Eblan Rime;Regio Urbanissima"
"Eblan icetrap","Regio Domorum"
"echevore","Timh Gyeus"
"Echidna","The Queen's Bedchamber"
"echioceras","Strategeion - 3F;Strategeion - 4F"
"Eden Prime","The Core"
"Eden's Promise","The Garden of Nowhere"
"eft","Black Brush;The Clutch;Central Thanalan"
"eftstool","The Aurum Vale"
"Eggplant Knight","The Isles of Umbra"
"Egi plume","The Floating City of Nym"
"Einhander","The Keeper of the Lake (Zone)"
"elder aspis","Eshceyaani Wilds"
"elder flint","Solace;Sorrow"
"elder goobbue","Middle La Noscea"
"elder longhorn","Drybone"
"elderly gnome","Nuvy's Leavings"
"Eldthurs","West Flamerock"
"electric node","Core Override"
"electromagnetic coil","Main Generators"
"elite onmitsu","Budokan Training Grounds"
"Elpis minotaur","Kallimelios Zephyros"
"elven knight","Laxan Loft"
"ember sprite","Flurry;Northeastern Ice Needles;Southwestern Ice Needles;East Flamerock"
"emerald salamander","Rootslake"
"Emperor's rose","Garlemald"
"empuse","Beta Quadrant"
"enchanted fan","Sudden Torment"
"enchanted funguar","Jadeite Thick"
"enforcement droid","Alpha Quadrant"
"enforcement droid 208","Alpha Quadrant"
"enforcement droid 210","Automachina Research"
"Engels","Forward Deck"
"engine oil","Electrocution Gallery"
"Enkelados","The Sea of Clouds"
"enraged Elpis minotaur","Southerly Zephyrneus"
"entanglement","Tomb of the Nullstone"
"Eo'ghrah","The West Val River Bank"
"eoraptor","Brayflox's Longstop (Hard) (Zone)"
"Epilogi","Blue Sky"
"Erle","The Fringes"
"eroded earth sprite","Avalonia Fallen"
"eroding marolith","The Lower Reaches"
"errant revenant","Copperbell Mines (Hard) (Zone)"
"errant soul","Copperbell Mines"
"escaped oreias","Philomythes Notos"
"Estinien Wyrmblood","Steel Vigil"
"etainmoth","Timh Gyeus"
"Etamin","Ohl Tahn"
"Eurekan dahak","The Anemos Seam"
"Eurekan deathgaze","The Val River Source"
"Eurekan screamer","Heartbreak Holt"
"Eurydike","The Hungering Gardens"
"even bigger chigoe","Issom-Har"
"evenfall firefly","The Gods' Grip;Skull Valley;Drybone"
"Everkeep aerostat","Information Center;Leynode Nine;Recreation Zone"
"Everkeep sentry G10","Information Center;Leynode Nine"
"Everkeep sentry R10","Leynode Nine;Recreation Zone"
"Everkeep turret","Recreation Zone"
"everlasting yew","Windspath Gardens"
"everwinter bear","Riversmeet"
"evil dreamer","Penitence"
"evil weapon","Kelk"
"exciting bug","Hyperstage 4"
"exciting cleaner","Hyperstage 2"
"exciting hunter","Hyperstage 1"
"exciting iron claw","Hyperstage 1"
"exciting lublyn","The Excitatron 6000 (Zone)"
"exciting spinner-rook","Hyperstage 1"
"Exdeath","The Parapet"
"execrated thew","Containment Bay Z1T9 (Zone)"
"execrated wile","Containment Bay Z1T9 (Zone)"
"execrated will","Containment Bay Z1T9 (Zone)"
"execrated wit","Containment Bay Z1T9 (Zone)"
"execrator","Heathcliff"
"expansive one","Ostrakon Tria"
"expecting damselfly","Four Arms"
"extension","The Chrysalis (Zone)"
"eyeclops","Archeo Alexandria"
"fabricated singha","East Flamerock"
"face of the hero","The Vault"
"fachan","South Shroud;Silent Arbor"
"facility dreadnaught","Autolift"
"fading soul","Barracks"
"faerie funguar","Nine Ivies"
"Fafnir","Uncanny Valley (Area)"
"faithless guard","The East Val River Bank"
"fallen pikeman","Sagolii Desert"
"false gigantopithecus","The Dravanian Forelands"
"Fan Ail","Ultima Thule"
"Fatebreaker","Bygone Gaol"
"father of armored dragons","Ostrakon Deka-okto"
"faultfinder","Amdapor Keep (Hard) (Zone)"
"Faust","Machinery Bay 44;The Clevering"
"Faust Z","The Cranial Plate"
"Fear Gorta","The Isles of Umbra"
"feather flea","Chocobo Forest"
"Fenrir","Snowcloak (Zone)"
"Ferae Domitae blade-wolf","Rhalgr's Reach"
"Ferae Domitae bow-wolf","Rhalgr's Reach;The Queen's Gardens"
"Ferae Domitae spear-wolf","Rhalgr's Reach;The Queen's Gardens"
"feral dodo","Quarterstone"
"feral lizard","The Northern Hills of Amber"
"feral longjaw","Shades of Grief"
"feral rail","Shadow Fault"
"fern flower","Southern Entrenchment"
"Fernehalwes","Bluefog"
"ferocious Fuath","Voeburtenburg"
"ferromantoise","The Orchard"
"fetid faerie","Bronze Lake"
"figgy pudding","Upper Paths"
"fighting vulture","Halatali (Hard) (Zone)"
"fire aether","Philomythes Notos"
"fire arcanum","The Answering Quarter"
"fire homunculus","Pools of Folly"
"fire silver coblyn","Nanawa Mines"
"fire sprite","The Bramble Patch;Central Thanalan;Hall of the Bestiarii;The Red Labyrinth;Sagolii Desert;Zanr'ak;Broken Water;Bluefog;The Dravanian Forelands;Chocobo Forest;Azys Lla;The Dusk Throne;Solace;Asyle Volcane"
"firedrake","Drybone;Broken Water"
"firedrone scout","The Smoldering Wastes"
"firedrone sniper","Avalonia Fallen"
"Firemane","Hall of the Cesti"
"firesand keg","Blue Sky"
"firesphere","Porta Decumana"
"firestone golem","The Garden of Despite"
"first daughter","Peat Bogs"
"first-generation monoceros","Philomythes Notos"
"flambeau","Copperbell Mines (Hard) (Zone)"
"Flame Sergeant Dalvag","Northern Thanalan"
"flame shiver","Sagolii Desert"
"flame voidragon","East Flamerock;West Flamerock"
"flame zonure","The Pristine Palace of Amh Malik"
"Flamecrest Afajj Koh","Zahar'ak"
"Flamefang commander","Zahar'ak"
"Flamefang elite","Zahar'ak"
"Flamefang lancer","Zahar'ak"
"flat-footed opken","Quickspill Delta"
"Flauros","Northeastern Ice Needles"
"flawed naga","High-level Incubation Bay"
"flawed shabti","High-level Incubation Bay"
"flawless bubble","The West Val River Bank"
"flawless chimera","Soldiery Gallery"
"flawless empuse","Soldiery Gallery"
"flawless naga","Soldiery Gallery"
"fledgling of Ligaka","Miyakabek'zoma"
"fleshfly swarm","The Tam-Tara Deepcroft"
"fleshless captive","The Isle of the Dead"
"fleshy member","The Dungeons"
"fleshy pod","The Thousand Maws of Toto-Rak"
"flint","Sorrow"
"flintshell","Everschade"
"floating turret","The Cage"
"floor mandrill","The Ox'Dalan Gap"
"floorclaw Sahagin","South Tidegate"
"floorscale Sahagin","South Tidegate"
"floorspine Sahagin","South Tidegate"
"floortooth Sahagin","South Tidegate"
"flower basket","Timh Gyeus"
"flowering gigantender","The Fields of Amber"
"flowering sabotender","Broken Water;Heartbreak Holt"
"flowering witchweed","Good Jenanna's Grace"
"fluid soul","Canal Town"
"fluturini","The Last Forest"
"flux Ea","Ostrakon Tria"
"fly agaric","The Cerulean Cexudross"
"flyblown failure","The Tam-Tara Deepcroft (Hard) (Zone);Wormwood Altar (Hard)"
"flying popoto","Yawtanane Grasslands"
"flying shark","Rasen Kaikyo"
"foaming croc","Dragonhead"
"foaming goobbue","Dragonhead"
"foaming wolf","Dragonhead"
"fog basilisk","Bluefog"
"font","Reisen Temple Road"
"foobar","Conversion Chamber"
"foper","The Striped Hills"
"foraging doe","The Ox'Dalan Gap;Upper Paths;Silent Arbor"
"foraging stag","Upper Paths;Silent Arbor"
"Fordola rem Lupis","Rhalgr's Reach;The Resonatorium"
"foreboding aura","Ala Gannha"
"foreboding statue","Amdapor Keep (Hard) (Zone)"
"forest echo","The Blind Forest of Yx'Maja"
"forest funguar","Jadeite Thick"
"forest woolback","Dryland Shroud"
"forest yarzon","Oakwood"
"Forgall","The Shrine of the Goetic"
"forgiven bribery","The Turquoise Currents"
"forgiven clamor","The Bruise;The Blackened Meadow;The Fiery Crossroad;The Bright Cliff"
"forgiven conceit","Voeburtenburg;The Bruise"
"forgiven cowardice","The Bright Cliff;The Fields of Amber;Qasr Sharl;Voeburtenburg;Kholusia;The Fiery Crossroad"
"forgiven deceit","Voeburtenburg;Kholusia;The Blackened Meadow"
"forgiven disobedience","The Blackened Meadow"
"forgiven dissonance","The Wound (Holminster Switch);The Trip"
"forgiven enmity","Kholusia;The Fiery Crossroad"
"forgiven flattery","Kholusia"
"forgiven folly","The Fields of Amber;The Bruise;Weathering;Bowrest"
"forgiven gossip","Lakeland;Kholusia;Amh Araeng;Il Mheg;The Rak'tika Greatwood;The Tempest"
"forgiven grudge","The Turquoise Currents"
"forgiven hypocrisy","Kholusia"
"forgiven ignorance","The Bruise;The Forest of the Lost Shepherd"
"forgiven jealousy","Scree"
"forgiven pedantry","Kholusia"
"forgiven prejudice","Kholusia"
"forgiven rebellion","Lakeland;Kholusia;Amh Araeng;Il Mheg;The Rak'tika Greatwood;The Tempest"
"forgiven shame","Scree;The Bright Cliff;the Blind Forest of Yx'Maja;The Blind Forest of Yx'Maja"
"forgiven thievery","Scree"
"forgiven vainglory","The Turquoise Currents"
"forgiven venery","Scree"
"Forlorn maiden","The Fringes;The Peaks;The Lochs;The Ruby Sea;The Azim Steppe;Yanxia;Lakeland;Amh Araeng;Kholusia;Il Mheg;The Rak'tika Greatwood;The Tempest;Labyrinthos;Thavnair;Garlemald;Mare Lamentorum;Elpis;Ultima Thule"
"Formidable","The Duergar Mountains"
"formidable foper","The Pall of Clarity"
"Forneus","Central Shroud"
"forsaken soul","Dragonbreath Falls"
"fossil dragon","Uncanny Valley (Area)"
"fossilshell","Sastasha"
"Foul River hapalit","North Silvertear"
"foul-tempered chicken","Bentbranch"
"four-eyes","Newvoid"
"fox fire","Proud Creek"
"fractured mana idol","Lower Paths"
"frenzied goobbue","Seasong Grotto"
"frenzied mossback","Seasong Grotto"
"fresh whelk ballista","Sapsa Spawning Grounds"
"frost aevis","Whitebrim"
"frost bomb","Snowcloak (Zone)"
"frost grenade","Coerthas Western Highlands;Gorgagne Holding"
"frostbitten conscript","Barracks"
"frostbitten goobbue","Dragonhead;Whitebrim"
"frostbitten officer","Barracks"
"frostbitten sentry","Barracks"
"frostbitten war hound","Barracks"
"frostbound","Snowcloak (Zone)"
"Frostmane","The West Val River Bank"
"frozen bavarois","Dragonhead"
"frozen chirurgeon","Lord Commander's Seat"
"frozen knight","Lord Commander's Seat"
"frozen mirror","Great Glacier"
"frozen star","Neurolink Nacelle"
"fruitful nopalitender","Yawtanane Grasslands"
"fruiting fungus","Nine Ivies"
"fruiting gigantender","The Fields of Amber"
"Frumious Koheel Ja","The Wanderer's Palace (Hard)"
"Fuath prankster","Timh Gyeus"
"Fuchikari","The Glittering Basin"
"full-grown loaghtan","The Smoldering Wastes"
"full-grown manjusaka","The Perfumed Rise"
"full-metal faust","Life Support"
"fulminator","Copperbell Mines (Hard) (Zone)"
"Funa Yurei","The Ruby Sea"
"Furcas","The Eblan Rime"
"furious pisaca","The Perfumed Rise"
"furious sigh","Sylphlands"
"furious snarl","Sylphlands"
"furious wivre","The Ja Tiika Heartland"
"Furryfoot Kupli Kipp","Thornmarch"
"gadfly","The Lost City of Amdapor (Zone)"
"gaelicat","Cloudtop"
"gagana","Virdjala"
"Gaius van Baelsar","Magitek Lift"
"gaja","Saltwind's Welcome"
"galago","Cedarwood"
"Galatea Magna","Forum Messorum"
"Galatea Parva","Lar"
"gallivanting gazelle","Virdjala"
"Gallowsbeak","Heritage Found"
"game fowl","The Flock"
"Gamma","Yanxia"
"Gancanagh","Eureka Orthos"
"Gandarewa","The Churning Mists"
"garden bee cloud","Saint Mocianne's Arboretum"
"garden cloudtrap","Sudden Torment"
"garden crocota","Voeburtenburg"
"garden melia","Sudden Torment"
"garden porxie","Father Collard's Chambers"
"garden sankchinni","Sudden Torment"
"gardenkeeper","Klauser's Peace"
"Gargamelle","The Ogre's Belly"
"gargant","Heritage Found"
"gargantua","Leynode Pyro"
"gargoyle usher","Hardwood Altar (Hard)"
"Garlic Jester","The Isles of Umbra"
"Garula","Bardam's Hunt"
"gas bomb","Halatali"
"gasame","Hells' Lid (Landmark)"
"gastornis","Cloudtop"
"gastornis nest","Cloudtop"
"gastornis tercel","Wisent Herd"
"Gatling","Eastern Thanalan"
"Gauki Strongblade","The Ruby Sea"
"gaunt beak","Drybone"
"gaunt coyote","Kelk"
"gaunt gedan","Chakha Zoh"
"gaunt slaveling","Abandoned Amajina Mythril Mine"
"Gavial","Dragonhead"
"gazelle hawk","East End"
"gear grease","The Wanderer's Palace"
"gear lubricant","Condensate Demineralizer 9"
"gelid bhoot","Gyr Kehim"
"gelid eye","Bentbranch;Drybone"
"gelid gaol","Machinery Bay 70"
"gemkeeper","Yesterland"
"genesis rock","Mare Lamentorum"
"genomos","The Medial Circuit (Area)"
"Gensui dhara","Unseen Spirits Laughing"
"geomantic anila","The Heart of Wind"
"geomantic apa","The Heart of Water"
"geomantic dhara","The Heart of Earth"
"geomantic kiyofusa","The Swallow's Compass (Area)"
"germinant","The Bright Cliff"
"Ghede Ti Malice","South Shroud"
"ghilman","The Fields of Amber"
"ghostwolf","Riversmeet"
"ghrah luminary","Fuel Chamber"
"giant bavarois","The Final Ease"
"giant bomb","Brayflox's Longstop (Hard)"
"giant captive","The Ogre's Belly"
"giant clam","Sastasha"
"giant codcarrier","Daniffen Pass"
"giant coralshell","Rasen Kaikyo"
"giant drubber","Whitebrim"
"giant grizzly","The Last Forest"
"giant iguana","The Forest of the Lost Shepherd"
"giant loaghtan","Chocobo Forest"
"giant lugger","Boulder Downs"
"giant oxpecker","Cedarwood"
"giant reader","Boulder Downs"
"giant ripper","Whitebrim"
"giant rockslave","Daniffen Pass"
"giant sandworm","Sagolii Desert"
"giant tortoise","Spineless Basin;Black Brush;Hammerlea"
"giant tunnel worm","Sunken Antechamber"
"gibbering coyote","The Northern Hills of Amber"
"gigantender","Qasr Sharl"
"gigas bonze","Crystal Tower (Landmark);North Silvertear"
"gigas captive","The Ogre's Belly"
"gigas shramana","North Silvertear"
"gigas sozu","North Silvertear"
"gigaworm","The Blacklands"
"gigaworm stalker","The Blacklands"
"giggling gigantoad","Parata's Peace"
"gil turtle","Central Thanalan"
"gilded headstone","Shadowed City"
"Gilpincher Zuzuroon","Wellwick Wood"
"Gilshs Aath Swiftclaw","The Tempest"
"Girimekhala","The Azim Steppe"
"Girtab","North Shroud"
"giruveganaus","The Stone Vigil (Hard) (Zone)"
"gizamaluk","The Blind Forest of Yx'Maja"
"glaciated yumemi","Tebqeyiq"
"glacier golem","The Val River Swale"
"glacier sprite","Snowcloak (Zone)"
"glade wivre","The Val River Swale"
"gladiatorial node","Blue Sky"
"Glassjaw Nazagg Gah","Amalj'aa Encampment"
"glassy-eyed cobra","Advanced Clevering"
"glassy-eyed minotaur","Advanced Clevering"
"glassy-eyed shabti","Advanced Clevering"
"Glasya Labolas","Syrcus Tower"
"Glaukopis","East Flamerock"
"Glawackus","Chocobo Forest"
"glide bomb","Horizon's Edge"
"glitched sentry S8","East Yyasulani"
"glowering glowfly","Bentbranch"
"glowfly","The Bramble Patch;Cave Kikitola"
"glowing chimera","Recombination Labs"
"glowing cresset","Circle of the Tempered"
"glowing empuse","Recombination Labs"
"Gluttonous Gertrude","The Flock"
"Glycon","Landlord Colony"
"glyptodon","The Northern Plateau"
"gnarled gargoyle","The Footfalls"
"gnarled treant","Nine Ivies"
"Gnath cometdrone","The Dravanian Forelands"
"Gnath cultivator","The Smoldering Wastes"
"Gnath firedrone","The Smoldering Wastes;Loth ast Gnath"
"Gnath low patron","Loth ast Gnath"
"gneissic gargoyle","Amdapor Keep (Hard) (Zone)"
"gnole","Wolves of Shadow"
"gnome","Nuvy's Leavings;Mount Biran Mines"
"gobbie beak","Brayflox's Longstop (Hard) (Zone)"
"gobbledygawker","Advanced Clevering"
"gobbledygroper","Advanced Clevering"
"goblin ambusher","Silent Arbor"
"goblin fisher","Summerford"
"goblin glider","The Makers' Quarter"
"goblin hunter","The Honey Yard;Skull Valley"
"goblin mugger","Summerford;Hammerlea"
"goblin of fortune","The Excruciationator"
"goblin outlaw","Raincatcher Gully;Central Shroud"
"goblin picaroon","Summerford"
"goblin roper","Rootslake"
"goblin sharpshooter","The Arkhitekton"
"goblin thug","Silent Arbor;Goblins' Meet"
"goblin tinkerer","The Arkhitekton"
"goblin treasure hunter","The Aquapolis (Zone)"
"gobtank scrap","Life Support"
"gobwidow scrap","Life Support"
"Goddess Chadarnook","Mansion Cellar"
"goen anala","Hells' Lid (Landmark)"
"Gogmagolem","The Crying Dark (Hard)"
"gold back","The Clutch;Raincatcher Gully"
"gold bear","Halatali (Hard) (Zone)"
"gold whisker","The Shifting Altars of Uznair (Zone)"
"golden axe beak","The Burning Wall"
"golden brickman","Bronze Lake;Finder's Bluff"
"golden coeurl","Raincatcher Gully"
"golden fleece","The Burning Wall"
"goldvine","The Aurum Vale"
"golem soulstone","The Adytum of Lalafuto IV"
"Gomory","Syrcus Tower"
"gomphotherium","Everkeep Ward"
"goobbue","Raincatcher Gully"
"goobbue farmer","Cedarwood"
"go'ozoabek'be","Kozama'uka"
"Gordian footman","Serviceway 542;Serviceway 541;Serviceway 539"
"Gordian hardhelm","Hangar 12"
"Gordian hardmind","Hangar 12"
"Gordian sniper","Serviceway 541;Hangar 12"
"Gordian soldier","Hangar 12"
"gore demon","Haukke Manor (Landmark)"
"Gore Horde battle drake","Amalj'aa Encampment"
"Gore Horde lancer","Amalj'aa Encampment;Zanr'ak"
"Gore Horde thaumaturge","Amalj'aa Encampment"
"gorged spinner","Pike Falls"
"gorgimera","Northern Thanalan"
"Gorn the Garrgh","North Silvertear"
"gorpokkur","The Val River Source"
"Gorynich","The Stone Vigil (Hard) (Zone)"
"Goryshche","Delta Quadrant"
"Gossamer","Wellwick Wood"
"Gowrow","The Stone Vigil (Hard) (Zone)"
"Gozol Itzcan the Hatchet","Natalan"
"Gozu","Floor 50 (Heaven-on-High)"
"Graffi","Southwestern Ice Needles"
"Graffiacane","Southwestern Ice Needles"
"Graffias","The Thousand Maws of Toto-Rak (Zone)"
"Graffias's tail","The Thousand Maws of Toto-Rak"
"grain weevil","Hammerlea"
"grand aevis","Providence Point"
"grand archaeornis","Hemlock"
"grand bijou","Tomb of the Nullstone"
"Grand Duke Batym","West Flamerock"
"granite gaol","The Navel (Zone);East Flamerock"
"granite gaoler","The Navel (Zone)"
"Graoully","Twinpools"
"grasslands worm","Eshceyaani Wilds"
"Grassman","The Rak'tika Greatwood"
"gravedigger","The Tam-Tara Deepcroft"
"graven image","Upper Tower of Ruin"
"gravity node","Core Override"
"gravity orb","The Lost City of Amdapor (Zone)"
"great dragon","The Audience Chamber"
"great morbol","The Answering Quarter"
"Great Oak","Alder Springs"
"great putrid morbol","The Answering Quarter"
"great white torama","Whitebrim Front"
"great yellow pelican","Runstop Frontblock"
"Greataxe Beak","Hammerlea"
"greater amphisbaena","The Norvrandt Slope"
"greater armadillo","Terminus"
"greater asvattha","The Shroud of the Samgha"
"greater demon","Pools of Folly;Walk of Lament"
"greater doblyn","U'Ghamaro Mines"
"greater gulo gulo","The Rise of Bardam the Brash"
"greater morbol","The Makers' Quarter"
"greatest morbol","The Striped Hills"
"greatwing ked","Rootslake"
"Greatwood rail","The Great Pyramid of Ux'ner"
"greedy Fuath","Timh Gyeus"
"greedy hog","Silent Arbor"
"greedy hoglet","Silent Arbor"
"green Archon","Labyrinthos"
"green bavarois","The Final Ease"
"green dragon","Syrcus Tower"
"green glider","The Silent Cliffs"
"green laver","Bronze Lake"
"gremlin","The Lost City of Amdapor (Zone)"
"gremlin graverobber","The Exarch Gate"
"grenade","The Long Climb;Bluefog;Iron Lake"
"grey arbiter","The Striking Tree"
"grey bomb","Incubator 66"
"grey draco","Weathering"
"grey wolf","Amdapor Keep (Hard)"
"Greywine","Providence Point"
"griffin","The Sea of Clouds"
"gripper","Bloodshore"
"gritclaw","Pyariyoanaan Plain"
"grizzled lancer","Wailing Barracks"
"grizzly host","Saint Mocianne's Arboretum"
"groom-to-be","The Tam-Tara Deepcroft (Hard) (Zone)"
"grotto piranu","Sastasha (Hard)"
"grotty imp","Silent Arbor"
"ground squirrel","Treespeak;Jadeite Thick"
"groundseater","The Blue Window"
"groundsreaper","The Blue Window"
"growling gyuki","Rasen Kaikyo"
"gruesome gargoyle","The Footfalls"
"grumbling hippocerf","Avalonia Fallen"
"gruntamulous dindergrabble","Chocobo Forest"
"gryps","Philomythes Notos"
"guardian beast","Wightrock"
"guardian of Nym","The Long Climb;Outer La Noscea"
"Gubal falcon","School of Phantasmagoria"
"Gudanna","Floor 80 (Palace of the Dead)"
"Guguroon Wetnose","The Coffer & Coffin"
"guhasaya","The Shroud of the Samgha"
"guhasaya ambusher","The Shroud of the Samgha"
"Guhuo Niao","The Ruby Sea"
"guillotine beak","The Footfalls"
"Guimauve","Blue Sky"
"Gulg knocker","Dwarven Hollows"
"gulgnu","Scree"
"gully galago","Brayflox's Longstop (Zone);Brayflox's Longstop (Hard) (Zone)"
"Gungnir","South Shroud"
"Gunitt","The Tempest"
"Gurangatch","Elpis"
"Guttrix Sliverpicks","The Gods' Grip;Rootslake;Drybone"
"guud suud","Newvoid"
"Gwas-y-neidr","The Peaks"
"Gwyddrud","Recreation Zone"
"Gwyllgi","North Silvertear"
"Gyascutus","Ten Oohr"
"Gyorai Quickstrike","Yanxia"
"Gyr Abanian hornbill","Emprise"
"Gyr Abanian vulture","The Temple of the Fist (Zone)"
"Gyr Abanian zu","The Temple of the Fist (Zone)"
"gyre spume","The Whorleater"
"gyrtower","Conversion Chamber"
"gyuki","Rasen Kaikyo"
"Haam auk","Isle of Haam (Area)"
"Haam caribou","Isle of Haam (Area)"
"Haam crystal","Isle of Haam (Area)"
"Haam dhruva","The Aetherfont (Area)"
"Haam Forlorn","The Aetherfont (Area)"
"Haam golem","Isle of Haam (Area)"
"Haam hornbill","Isle of Haam (Area)"
"Haam merino","Isle of Haam (Area)"
"Haam myrrlith","The Aetherfont (Area)"
"Haam polycrystal","The Aetherfont (Area)"
"Haam troll","Isle of Haam (Area)"
"Haam yakow","Isle of Haam (Area)"
"hailstorm sprite","Inner Keep;Outer Walls"
"Halatali bat","Halatali (Hard) (Zone)"
"halgai","Onsal Hakair"
"halgai shoot","The Rise of Bardam the Brash"
"Halicarnassus","Haukke Manor (Hard)"
"halitostroper","Sorrel Haven"
"hanuman langur","The Shroud of the Samgha"
"Haokah","Syrcus Tower"
"Haokah followed","The Val River Source"
"Haokah unbound","Northeastern Ice Needles"
"Haokah unburdened","The Val River Source"
"harakiri hanya","Hon-maru Tenshu"
"harakiri kosho","Keisen Garden"
"hardskin amphisbaena","The Norvrandt Slope"
"hardskin stingray","The Norvrandt Slope"
"Harmachis","Evaluation and Authentication"
"harness snipper","The Keeper of the Lake (Zone)"
"harpeia","Hullbreaker Isle"
"harpuia","Ethoseletikos Boreas"
"harvester","The Central Hills of Amber"
"harvestman","Onsal Hakair"
"Hati","The Shifting Altars of Uznair (Zone)"
"hatsugyo","Sogyoku Piscary"
"haunt","Mansion Cellar"
"hawker","Timh Gyeus"
"hazmat","Uncanny Valley (Area)"
"head of the adjudicator","The Sunken Temple of Qarn (Hard) (Zone)"
"Headrip ogre","Broken Water"
"headstone","Control Gates"
"healthy tsanahale","Provenance"
"heartbroken ochu","Heartbreak Holt"
"heavenly aka-ishi","Floor 46 (Heaven-on-High)"
"heavenly amagoi","Floor 17 (Heaven-on-High)"
"heavenly Amikiri","Floor 4 (Heaven-on-High)"
"heavenly ango","Floor 8 (Heaven-on-High)"
"heavenly aomino","Floor 17 (Heaven-on-High)"
"heavenly apa","Floor 15 (Heaven-on-High)"
"heavenly ashigaru","Floor 37 (Heaven-on-High)"
"heavenly bombfish","Floor 2 (Heaven-on-High)"
"heavenly chizakura","Floor 66 (Heaven-on-High)"
"heavenly coralshell","Floor 4 (Heaven-on-High)"
"heavenly dhara","Floor 42 (Heaven-on-High)"
"heavenly dhruva","Floor 21 (Heaven-on-High)"
"heavenly dogu","Floor 37 (Heaven-on-High)"
"heavenly doguzeri","Floor 64 (Heaven-on-High);Floor 65 (Heaven-on-High)"
"heavenly dokyu","Floor 56 (Heaven-on-High)"
"heavenly ganseki","Floor 41 (Heaven-on-High)"
"heavenly Garula","Floor 81 (Heaven-on-High)"
"heavenly gedan","Floor 31 (Heaven-on-High)"
"heavenly gowan","Floor 58 (Heaven-on-High)"
"heavenly gyuki","Floor 5 (Heaven-on-High)"
"heavenly hakagiri","Floor 13 (Heaven-on-High)"
"heavenly halgai","Floor 21 (Heaven-on-High)"
"heavenly hand","Floor 14 (Heaven-on-High)"
"heavenly hanya","Floor 31 (Heaven-on-High)"
"heavenly harakiri","Floor 32 (Heaven-on-High)"
"heavenly hashiri-dokoro","Floor 67 (Heaven-on-High)"
"heavenly hatamoto","Floor 24 (Heaven-on-High)"
"heavenly hornbill","Floor 31 (Heaven-on-High)"
"heavenly hyoga","Floor 71 (Heaven-on-High)"
"heavenly hyozan","Floor 74 (Heaven-on-High)"
"heavenly ichijama","Floor 71 (Heaven-on-High)"
"heavenly iseki","Floor 47 (Heaven-on-High)"
"heavenly iwamushi","Floor 62 (Heaven-on-High)"
"heavenly jellyfish","Floor 63 (Heaven-on-High)"
"heavenly jubokko","Floor 61 (Heaven-on-High)"
"heavenly jujishi","Floor 76 (Heaven-on-High)"
"heavenly kamakiri","Floor 51 (Heaven-on-High)"
"heavenly kamanari","Floor 51 (Heaven-on-High)"
"heavenly karakuri","Floor 56 (Heaven-on-High)"
"heavenly katasharin","Floor 22 (Heaven-on-High)"
"heavenly keukegen","Floor 26 (Heaven-on-High)"
"heavenly kiyofusa","Floor 36 (Heaven-on-High)"
"heavenly koja","Floor 27 (Heaven-on-High)"
"heavenly kongorei","Floor 53 (Heaven-on-High)"
"heavenly korpokkur","Floor 11 (Heaven-on-High)"
"heavenly kosodegai","Floor 66 (Heaven-on-High)"
"heavenly kraken","Floor 6 (Heaven-on-High)"
