Skel,McType,NumAnim,Names
m0027,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbnm_01f_lp0
m0028,monster,19,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbnm_01b_lp0 cbnm_01f_lp0 cbnm_01l_lp0 cbnm_01r_lp0 cbnm_02f_lp0 cbnm_02l_lp0 cbnm_02r_lp0 cbnm_id0 cbnm_jump_1 cbnm_jump_2 cbnm_jump_3
m0029,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0030,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0
m0031,monster,0,
m0032,monster,6,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0
m0033,monster,10,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_trn_l_lp cbbm_trn_r_lp cbnm_id0
m0034,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0035,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_id0
m0036,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbfa_add_all cbnm_01f_lp0 cbnm_id0
m0037,monster,6,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0
m0038,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0039,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbnm_01f_lp0 cbnm_id0
m0040,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0041,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbnm_01f_lp0 cbnm_id0
m0042,monster,13,cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0
m0043,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbnm_01f_lp0
m0044,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0045,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0046,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0047,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0048,monster,0,
m0049,monster,16,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbfa_add_all cbnm_01f_lp0 cbnm_id0
m0050,monster,7,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0
m0051,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_2lp cbnm_01f_lp0
m0052,monster,0,
m0053,monster,23,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_partsbreak cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_sp_e_2lp cbbm_sp_g_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbbp_1_break_1 cbbp_1_break_2lp cbbp_1_break_3 cbbp_2_break_1 cbbp_2_break_2lp cbbp_2_break_3 cbnm_01f_lp0 cbnm_id0
m0054,monster,12,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_partsbreak cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0055,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbnm_01f_lp0 cbnm_id0
m0056,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0057,monster,17,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_id0
m0058,monster,17,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0059,monster,7,cbba_add_dmg_f cbbm_02f_lp0 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbnm_id0
m0060,monster,12,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_partsbreak cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbnm_id0
m0061,monster,7,cbba_add_dmg_f cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3
m0062,monster,6,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0
m0063,monster,14,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0064,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp
m0065,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_id0
m0066,monster,14,cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0067,monster,3,cbbm_ded cbbm_dedpose cbbm_id0
m0068,monster,12,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_1 cbbm_sp_b_2lp
m0069,monster,13,cbba_add_dmg_f cbbm_01f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp
m0070,monster,25,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_partsbreak cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbbp_1_break_1 cbbp_1_break_2lp cbbp_1_break_3 cbbp_2_break_1 cbbp_2_break_2lp cbbp_2_break_3 cbbp_3_break_1 cbbp_3_break_2lp cbbp_3_break_3 cbbp_4_break_1 cbbp_4_break_2lp cbbp_4_break_3 cbnm_id0
m0071,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0072,monster,3,cbbm_ded cbbm_dedpose cbbm_id0
m0073,monster,23,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_1 cbbm_sp_a_2lp cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbbp_1_break_1 cbbp_1_break_2lp cbbp_1_break_3 cbnm_01f_lp0
m0074,monster,12,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0075,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_id0 cbfa_add_all cbfa_add_no cbfa_add_talk cbfa_add_yes cbnm_01f_lp0 cbnm_id0
m0076,monster,13,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0077,monster,6,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0
m0078,monster,12,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp
m0079,monster,10,cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp
m0080,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbnm_01f_lp0
m0081,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbnm_01f_lp0
m0082,monster,6,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0
m0083,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3
m0084,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbnm_01f_lp0
m0085,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbnm_01f_lp0
m0086,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0087,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_f_2lp cbnm_01f_lp0 cbnm_id0
m0088,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0 cbnm_id0
m0089,monster,12,cbba_add_dmg_g cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbfa_add_no cbfa_add_yes cbnm_01f_lp0 cbnm_id0
m0090,monster,4,cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_f_2lp
m0091,monster,4,cbba_add_dmg_f cbbm_ded cbbm_dedpose cbbm_id0
m0092,monster,2,cbba_add_dmg_f cbbm_id0
m0093,monster,7,cbba_add_dmg_f cbbm_02f_lp0 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0
m0095,monster,8,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_id0
m0096,monster,14,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_2lp cbnm_id0 cbnm_trn_l_lp cbnm_trn_r_lp
m0097,monster,6,cbba_add_dmg_f cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp
m0098,monster,15,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_partsbreak cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_sp_e_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0099,monster,14,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0100,monster,5,cbbm_02f_lp0 cbbm_id0 cbnm_01f_lp0 cbnm_02f_lp0 cbnm_id0
m0101,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_sp_e_2lp
m0102,monster,14,cbbm_02f_lp0 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_1 cbbm_sp_a_2lp cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_sp_g_1 cbbm_sp_g_2lp
m0103,monster,13,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0104,monster,2,cbba_add_dmg_f cbbm_id0
m0105,monster,9,cbba_add_dmg_f cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbnm_02f_lp0 cbnm_id0
m0106,monster,2,cbbm_id0 cbbm_sp_f_2lp
m0107,monster,4,cbba_add_dmg_f cbbm_ded cbbm_dedpose cbbm_id0
m0108,monster,0,
m0109,monster,10,cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0110,monster,15,cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0111,monster,6,cbba_add_dmg_f cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0
m0112,monster,5,cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_1 cbbm_sp_a_2lp
m0114,monster,6,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0
m0115,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_2lp
m0117,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0118,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp
m0119,monster,22,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_e_2lp cbbm_sp_g_2lp cbbm_sp_h_1 cbbm_sp_h_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbfa_add_all cbfa_add_no cbfa_add_yes
m0120,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbnm_01f_lp0
m0122,monster,8,cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_trn_l_lp cbbm_trn_r_lp
m0123,monster,15,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_id0 cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbfa_add_no cbfa_add_yes
m0124,monster,14,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_1 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0125,monster,12,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0126,monster,14,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0127,monster,13,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_1 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0128,monster,14,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_e_2lp cbbm_sp_f_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0129,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp
m0130,monster,15,cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_sp_g_1 cbbm_sp_g_2lp cbbm_sp_h_1 cbbm_sp_h_2lp
m0131,monster,20,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_2lp cbbm_sp_d_1 cbbm_sp_d_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbfa_add_all cbfa_add_no cbfa_add_yes cbnm_01f_lp0 cbnm_id0
m0132,monster,13,cbba_add_dmg_f cbbm_01f_lp0 cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0133,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_sp_a_2lp cbnm_01f_lp0 cbnm_id0
m0134,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp cbnm_id0
m0135,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0136,monster,7,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_id0
m0137,monster,10,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp cbnm_id0
m0138,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp cbnm_01f_lp0 cbnm_id0
m0139,monster,6,cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbnm_01f_lp0
m0140,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp cbnm_id0
m0141,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_dedpose cbbm_ft_ded_1 cbbm_ft_ded_2lp cbbm_ft_ded_3 cbbm_id0 cbbm_sp_a_2lp
m0142,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbnm_id0
m0143,monster,12,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbbm_sp_b_2lp cbbm_trn_l_lp cbbm_trn_r_lp cbnm_01f_lp0 cbnm_id0
m0144,monster,11,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_2lp cbbm_mgc_thm_3 cbbm_partsbreak cbbm_sp_a_2lp cbnm_01f_lp0
m0145,monster,8,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_mgc_thm_3 cbnm_id0
m0146,monster,17,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_b_1 cbbm_sp_b_2lp cbbm_sp_c_1 cbbm_sp_c_2lp cbbm_sp_d_2lp cbbm_sp_e_1 cbbm_sp_e_2lp cbbm_sp_g_1 cbbm_sp_g_2lp cbbm_trn_l_lp cbbm_trn_r_lp
m0147,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbnm_01f_lp0 cbnm_id0
m0148,monster,7,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp
m0149,monster,4,cbbm_02f_lp0 cbbm_ded cbbm_dedpose cbbm_id0
m0150,monster,9,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp cbnm_01f_lp0 cbnm_id0
m0151,monster,7,cbba_add_dmg_f cbbm_02f_lp0 cbbm_atk1 cbbm_ded cbbm_dedpose cbbm_id0 cbbm_sp_a_2lp
