BaseId,TerritoryTypeId,Observations
17519,1192,180
17520,1192,52
17521,1192,35
17522,1190,1
17522,1192,173
17523,1192,294
17524,1192,874
17525,1187,42
17525,1188,1
17525,1192,3
17526,1187,38
17526,1192,2
17527,1192,2
17529,1190,1
17542,1188,12
17543,1188,2
17544,1190,1
17544,1191,2
17549,1192,2
17557,1187,7
17557,1191,1
17557,1192,2
17558,1187,16
17558,1192,5
17559,1188,13
17560,1188,6
17561,1189,5
17562,1189,10
17562,1192,1
17563,1190,15
17564,1190,18
17564,1192,2
17565,1191,2
17566,1191,11
17567,1192,2
17568,1192,3
17569,1192,1
17571,1191,6
17571,1192,3
17572,1191,4
17573,1191,2
17573,1192,2
17574,1190,2
17574,1191,9
17574,1192,4
17575,1191,9
17576,1191,9
17577,1191,15
17578,1191,5
17579,1188,1
17579,1191,8
17580,1189,1
17580,1191,12
17582,1191,6
17583,1191,8
17583,1192,1
17584,1191,3
17585,1191,6
17586,1191,7
17587,1191,2
17588,1191,3
17589,1191,5
17590,1189,1
17604,1192,3
17612,1188,1
17612,1190,1
17612,1192,3
17613,1192,1
17614,137,2
17615,137,2
17615,1189,1
17615,1192,3
17617,1192,1
17618,1192,3
17619,1192,2
17620,1192,3
17626,1192,2
17631,1192,1
17632,1192,2
17638,1192,1
17640,1192,2
17641,612,1
17644,1187,1
17645,1187,1
17646,1187,1
17647,1187,1
17648,1187,4
17649,1187,2
17649,1190,1
17649,1192,1
17650,1187,3
17651,1187,1
17651,1191,1
17651,1192,1
17652,1187,1
17653,1187,1
17653,1192,2
17654,1187,1
17655,1187,1
17657,1188,2
17660,1188,2
17661,1188,1
17661,1192,2
17662,1188,2
17663,1189,1
17664,1189,1
17666,1189,1
17667,1191,2
17668,1192,2
17670,1192,1
17674,1189,4
17674,1192,1
17675,1189,1
17675,1192,2
17676,1189,5
17676,1192,1
17677,1191,1
17679,1191,3
17681,1192,1
17682,1192,1
17683,1192,2
17684,1191,3
17685,1191,4
17686,1192,2
17687,1188,1
17688,1188,2
17688,1191,2
17688,1192,1
17689,1188,2
17689,1192,1
17690,1188,2
17690,1191,1
17690,1192,2
17691,1191,2
17699,1190,13
17699,1191,1
17702,1191,1
17703,1191,4
17704,1192,1
17705,1192,4
17706,1192,1
17707,1187,19
17708,1187,16
17708,1192,2
17709,1190,1
17709,1192,11
17710,1192,1
17730,1189,7
17731,1189,7
17732,1188,1
17732,1189,1
17732,1190,5
17732,1191,3
17732,1192,1
17733,1190,1
17734,1192,2
17735,1190,1
17735,1192,2
17736,1190,1
17737,1190,1
17738,1190,1
17739,1190,9
17739,1191,1
17739,1192,1
17740,1190,4
17740,1192,1
17741,1190,4
17741,1192,2
17742,1190,5
17743,1189,1
17744,1189,1
17745,1189,1
17746,1190,56
17747,1190,7
17748,1190,8
17749,1190,18
17750,1190,4
17752,1190,5
17752,1192,1
17753,1190,28
17754,1190,10
17756,1190,3
17757,1190,3
17757,1191,1
17761,1190,14
17762,1190,8
17763,1190,5
17763,1192,1
17764,1190,5
17764,1192,1
17765,1190,7
17766,1189,4
17766,1192,3
17767,1190,2
17768,1192,2
17769,1192,4
17777,1188,2
17777,1190,1
17777,1191,1
17789,1191,160
17790,1189,5
17791,1188,13
17792,1188,16
17794,1188,7
17795,1190,1
17796,1190,1
17800,1189,4
17818,1190,1
17820,1190,1
17821,1190,1
17821,1192,1
17929,816,1
17955,1188,1
17988,1188,1
18174,1188,1
18175,1188,2
18788,816,1
18789,816,1
18790,816,1
18791,816,1
18792,816,1
18793,816,1
18794,816,1
18795,816,1
18796,816,1
18797,816,1
18798,816,1
18799,816,1
18800,816,1
18868,816,1
